[INFO][Friday, 30 Mar 2018 06:04:23 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 324
[ERROR][Friday, 30 Mar 2018 06:04:26 GMT] FILE [0] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/500-px-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:27 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:27 GMT] FILE [1] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/500-px-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:28 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:28 GMT] FILE [2] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/airbnb-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:28 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:28 GMT] FILE [3] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/airbnb-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:29 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:29 GMT] FILE [4] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/amazon-black.svg
[ERROR][Friday, 30 Mar 2018 06:04:29 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
[ERROR][Friday, 30 Mar 2018 06:04:29 GMT] FILE [5] ~/github/iconify/iconjar-to-ai/test-data/social-icons.iconjar/icons/amazon-color.svg
[ERROR][Friday, 30 Mar 2018 06:04:30 GMT] Error in `doc.groupItems.createFromFile` with file `[object Object]`. Error: ReferenceError: alignToNearestPixel is not a function
