[ERROR][Sunday, 01 Apr 2018 18:45:21 GMT] null is not an object
[INFO][Sunday, 01 Apr 2018 18:48:03 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 308
[INFO][Sunday, 01 Apr 2018 18:53:41 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 309
[INFO][Sunday, 01 Apr 2018 18:54:56 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 309
[INFO][Sunday, 01 Apr 2018 19:03:48 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:04:13 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:04:23 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:05:46 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:07:46 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:11:00 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:13:54 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:18:17 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:19:32 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 311
[INFO][Sunday, 01 Apr 2018 19:36:06 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:38:01 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:39:05 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:39:42 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:43:14 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:47:21 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:49:04 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:50:11 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:50:26 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:52:48 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:53:33 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:54:28 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:55:03 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:56:05 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:56:38 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:58:16 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 19:58:52 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 20:01:26 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 20:03:02 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Sunday, 01 Apr 2018 20:05:11 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Monday, 02 Apr 2018 02:53:01 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
[INFO][Monday, 02 Apr 2018 02:53:54 GMT] ~/github/iconify/iconjar-to-ai/IconJar%20to%20Artboards.jsx : 312
